"Name","Month","Sales","ExciseTax","County","Established","RetailerURLLink"
"213","CINDER","Aug-2016",626403,231769,"Spokane County","Retailer since Oct 2014","http://www.502data.com//license/414817"
"214","CINDER","Jul-2016",610898,226032,"Spokane County","Retailer since Oct 2014","http://www.502data.com//license/414817"
"215","CINDER","Jun-2016",535581,198165,"Spokane County","Retailer since Oct 2014","http://www.502data.com//license/414817"
"216","CINDER","May-2016",513279,189913,"Spokane County","Retailer since Oct 2014","http://www.502data.com//license/414817"
"217","CINDER","Apr-2016",502143,185793,"Spokane County","Retailer since Oct 2014","http://www.502data.com//license/414817"
"218","CINDER","Mar-2016",496373,183658,"Spokane County","Retailer since Oct 2014","http://www.502data.com//license/414817"
"219","CINDER","Feb-2016",465000,172050,"Spokane County","Retailer since Oct 2014","http://www.502data.com//license/414817"
"220","CINDER","Jan-2016",434982,160943,"Spokane County","Retailer since Oct 2014","http://www.502data.com//license/414817"
"221","CINDER","All-2015",3913120,1397686,"Spokane County","Retailer since Oct 2014","http://www.502data.com//license/414817"
"222","CINDER","All-2014",141250,47083,"Spokane County","Retailer since Oct 2014","http://www.502data.com//license/414817"
"223","HAVE A HEART","Sep-2016",611467,226243,"King County","Retailer since Apr 2015","http://www.502data.com//license/415333"
"224","HAVE A HEART","Aug-2016",593830,219717,"King County","Retailer since Apr 2015","http://www.502data.com//license/415333"
"225","HAVE A HEART","Jul-2016",562551,208144,"King County","Retailer since Apr 2015","http://www.502data.com//license/415333"
"226","HAVE A HEART","Jun-2016",446474,165195,"King County","Retailer since Apr 2015","http://www.502data.com//license/415333"
"227","HAVE A HEART","May-2016",438880,162386,"King County","Retailer since Apr 2015","http://www.502data.com//license/415333"
"228","HAVE A HEART","Apr-2016",419603,155253,"King County","Retailer since Apr 2015","http://www.502data.com//license/415333"
"229","HAVE A HEART","Mar-2016",409355,151461,"King County","Retailer since Apr 2015","http://www.502data.com//license/415333"
"230","HAVE A HEART","Feb-2016",377305,139603,"King County","Retailer since Apr 2015","http://www.502data.com//license/415333"
